IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
3.68.124.231,443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,820,2.04
16.170.206.239,2053,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,846,2.04
51.20.246.73,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,894,2.04
13.38.145.118,334,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,831,2.04
204.110.221.11,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,780,2.04
54.193.109.100,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,737,2.03
18.194.44.95,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,858,2.03
3.122.86.99,443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,807,2.02
54.203.85.46,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,789,2.02
3.8.118.32,2053,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,819,2.02
18.156.209.101,443,TRUE,AMS,NL,Europe,Amsterdam,16509,AMAZON-02,853,2.01
52.53.247.43,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,842,2.01
204.110.221.80,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,743,2.01
204.236.189.137,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,695,2.01
204.110.220.88,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,752,2.00
54.215.127.104,443,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,702,2.00
3.121.77.56,2096,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,825,2.00
3.9.132.15,334,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,846,2.00
3.9.223.59,80,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,794,2.00
54.238.6.36,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,235,1.99
204.110.220.237,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,735,1.98
204.110.220.76,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,744,1.97
204.110.220.8,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,736,1.95
13.56.251.164,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,705,1.95
13.48.245.19,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,886,1.91
204.110.221.60,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,757,1.91
13.60.4.8,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,906,1.90
13.56.210.252,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,688,1.89
204.110.220.65,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,761,1.89
54.183.53.183,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,717,1.84
44.227.209.152,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,801,1.84
43.206.229.233,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,240,1.84
52.66.42.244,10005,TRUE,BOM,IN,Asia Pacific,Mumbai,16509,AMAZON-02,641,1.83
18.197.96.21,8590,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,802,1.83
54.176.142.183,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,689,1.82
35.88.74.18,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,781,1.82
16.170.172.75,69,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,867,1.80
3.72.108.194,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,790,1.80
13.49.240.81,8080,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,886,1.75
35.182.64.64,80,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,911,1.74
54.67.9.16,443,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,701,1.72
3.121.2.140,1729,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,776,1.70
15.222.245.142,2053,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,948,1.69
52.59.44.105,2053,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,828,1.69
54.203.85.46,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,858,1.69
204.110.221.226,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,826,1.67
3.101.119.126,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,672,1.64
18.130.249.35,2053,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,877,1.64
204.110.220.218,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,845,1.61
18.130.168.34,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,840,1.59
13.212.52.130,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,325,1.59
52.57.142.162,8087,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,853,1.56
13.60.4.8,2087,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,909,1.56
18.194.180.78,443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,782,1.55
3.76.211.217,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,816,1.55
16.170.0.206,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,893,1.54
204.110.220.254,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,822,1.53
3.75.83.244,443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,812,1.52
52.57.142.162,8088,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,854,1.51
3.79.148.251,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,873,1.49
3.97.173.206,80,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,909,1.48
18.184.165.70,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,794,1.46
52.58.97.123,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,792,1.46
13.57.188.171,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,691,1.45
47.128.185.87,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,328,1.45
3.70.127.100,443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,843,1.44
204.110.220.18,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,736,1.43
18.196.70.197,443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,840,1.43
18.184.155.44,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,823,1.43
18.157.184.5,8051,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,803,1.42
15.237.28.105,11567,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,828,1.42
3.79.148.251,2053,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,779,1.41
3.121.2.140,1101,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,851,1.41
3.121.2.140,1725,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,849,1.33
13.38.117.229,2083,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,815,1.32
3.127.39.199,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,794,1.31
51.20.109.213,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,910,1.29
18.236.13.188,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,777,1.29
13.53.205.39,2053,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,911,1.29
3.77.165.113,443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,832,1.29
16.16.184.241,2053,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,890,1.29
18.171.173.217,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,852,1.27
13.56.59.26,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,696,1.26
13.51.201.157,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,900,1.24
18.159.105.97,443,TRUE,AMS,NL,Europe,Amsterdam,16509,AMAZON-02,861,1.24
3.120.144.20,8080,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,873,1.23
16.170.113.120,2053,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,959,1.22
35.180.207.222,2000,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,852,1.21
35.180.204.185,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,856,1.21
13.49.76.20,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,861,1.17
204.110.220.2,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,731,1.17
204.110.220.233,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,745,1.17
3.9.223.59,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,818,1.17
54.219.214.194,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,693,1.17
52.39.137.80,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,744,1.17
204.110.220.205,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,751,1.17
204.110.220.244,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,710,1.17
204.110.220.74,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,739,1.17
54.219.34.57,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,691,1.17
204.110.221.213,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,778,1.17
54.215.225.255,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,857,1.17
18.184.27.249,443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,844,1.17
16.63.172.92,2053,TRUE,MXP,IT,Europe,Milan,16509,AMAZON-02,881,1.17
54.215.127.104,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,709,1.17
18.236.13.188,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,787,1.17
54.219.182.35,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,710,1.17
3.8.118.32,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,854,1.17
16.170.113.120,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,878,1.17
204.110.220.120,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,754,1.17
3.72.198.199,2053,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,844,1.17
52.12.162.159,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,761,1.17
13.48.5.143,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,874,1.17
16.170.113.120,2083,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,859,1.17
13.60.7.96,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,891,1.17
35.180.207.222,2101,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,863,1.17
16.170.172.75,334,TRUE,OSL,NO,Europe,Oslo,16509,AMAZON-02,893,1.17
52.32.90.142,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,776,1.17
