IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
204.110.223.187,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,938,0.58
54.187.109.16,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,806,0.58
13.56.14.114,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,683,0.58
204.110.223.27,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,945,0.58
204.110.223.187,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,937,0.58
204.110.223.175,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,958,0.58
67.226.222.122,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,944,0.58
204.110.223.205,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,946,0.58
204.110.223.138,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,903,0.58
204.110.220.57,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,742,0.58
204.110.223.210,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,927,0.58
204.110.223.59,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,936,0.58
204.110.223.210,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,981,0.58
35.167.93.200,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,786,0.58
