IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.200.155,2053,2053,true,NRT,Asia Pacific,Tokyo,99,11.51
168.138.197.222,8080,8080,false,NRT,Asia Pacific,Tokyo,105,11.49
168.138.198.53,2083,2083,true,NRT,Asia Pacific,Tokyo,77,11.48
140.238.60.71,2087,2087,true,NRT,Asia Pacific,Tokyo,111,11.48
158.101.136.239,2096,2096,true,NRT,Asia Pacific,Tokyo,111,11.48
140.238.52.81,2096,2096,true,NRT,Asia Pacific,Tokyo,99,11.47
141.148.245.228,443,443,true,FRA,Europe,Frankfurt,195,11.46
168.138.195.31,80,80,false,NRT,Asia Pacific,Tokyo,86,11.46
158.101.159.212,2083,2083,true,NRT,Asia Pacific,Tokyo,137,11.46
138.2.14.164,2095,2095,false,NRT,Asia Pacific,Tokyo,99,11.45
143.47.188.211,443,443,true,CDG,Europe,Paris,192,11.44
158.101.144.34,2087,2087,true,NRT,Asia Pacific,Tokyo,135,11.44
141.147.160.86,8880,8880,false,NRT,Asia Pacific,Tokyo,77,11.44
150.230.208.113,8080,8080,false,NRT,Asia Pacific,Tokyo,77,11.43
140.238.52.141,2053,2053,true,NRT,Asia Pacific,Tokyo,103,11.43
168.138.198.202,2096,2096,true,NRT,Asia Pacific,Tokyo,80,11.42
141.147.181.148,2082,2082,false,NRT,Asia Pacific,Tokyo,84,11.41
131.186.28.248,2052,2086,false,ICN,Asia Pacific,Seoul,74,11.41
141.147.164.123,2096,2096,true,NRT,Asia Pacific,Tokyo,99,11.41
158.178.152.161,443,443,true,EWR,North America,Newark,177,11.40
144.21.40.125,443,443,true,FRA,Europe,Frankfurt,182,11.39
141.147.183.96,2053,2053,true,NRT,Asia Pacific,Tokyo,108,11.38
141.147.167.44,2083,2083,true,NRT,Asia Pacific,Tokyo,110,11.37
141.147.182.70,8443,8443,true,NRT,Asia Pacific,Tokyo,99,11.36
150.230.212.87,2082,2082,false,NRT,Asia Pacific,Tokyo,102,11.36
150.230.220.232,2086,2086,false,NRT,Asia Pacific,Tokyo,103,11.35
158.101.146.160,2083,2083,true,NRT,Asia Pacific,Tokyo,111,11.34
141.147.101.131,443,443,true,FRA,Europe,Frankfurt,198,11.33
158.101.159.212,2095,2095,false,NRT,Asia Pacific,Tokyo,102,11.32
143.47.242.149,443,443,true,FRA,Europe,Frankfurt,194,11.32
150.230.221.114,2087,2087,true,NRT,Asia Pacific,Tokyo,78,11.32
141.147.169.195,2052,2052,false,NRT,Asia Pacific,Tokyo,98,11.32
141.147.182.70,2082,2082,false,NRT,Asia Pacific,Tokyo,97,11.31
84.235.170.53,443,443,true,CDG,Europe,Paris,190,11.30
158.101.149.81,8080,8080,false,NRT,Asia Pacific,Tokyo,80,11.30
140.238.33.165,2095,2095,false,NRT,Asia Pacific,Tokyo,139,11.30
138.2.12.32,2052,2052,false,NRT,Asia Pacific,Tokyo,101,11.29
138.2.25.122,2086,2086,false,NRT,Asia Pacific,Tokyo,78,11.28
140.238.50.99,2052,2052,false,NRT,Asia Pacific,Tokyo,117,11.28
168.138.195.31,2082,2082,false,NRT,Asia Pacific,Tokyo,99,11.26
84.235.171.117,443,443,true,FRA,Europe,Frankfurt,195,11.26
141.147.84.37,443,443,true,FRA,Europe,Frankfurt,174,11.26
141.147.169.195,2087,2087,true,NRT,Asia Pacific,Tokyo,105,11.26
168.138.197.222,2096,2096,true,NRT,Asia Pacific,Tokyo,111,11.26
193.123.56.5,443,443,true,FRA,Europe,Frankfurt,202,11.25
141.147.169.195,2053,2053,true,NRT,Asia Pacific,Tokyo,85,11.22
140.238.44.118,2095,2095,false,NRT,Asia Pacific,Tokyo,105,11.21
141.147.178.202,8443,8443,true,NRT,Asia Pacific,Tokyo,135,11.19
158.101.150.126,8443,8443,true,NRT,Asia Pacific,Tokyo,106,11.19
151.145.70.28,8080,8080,false,NRT,Asia Pacific,Tokyo,107,11.18
151.145.69.105,2083,2083,true,HKG,Asia Pacific,Hong Kong,140,11.18
158.101.149.122,2086,2086,false,NRT,Asia Pacific,Tokyo,103,11.16
138.2.18.11,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.16
141.147.168.13,8880,8880,false,NRT,Asia Pacific,Tokyo,81,11.15
158.101.150.74,2096,2096,true,NRT,Asia Pacific,Tokyo,84,11.14
150.230.212.213,2052,2052,false,NRT,Asia Pacific,Tokyo,100,11.14
141.147.168.159,8080,8080,false,NRT,Asia Pacific,Tokyo,101,11.13
168.138.207.64,2087,2087,true,NRT,Asia Pacific,Tokyo,103,11.11
158.101.146.160,80,80,false,NRT,Asia Pacific,Tokyo,106,11.11
138.2.21.31,8880,8880,false,NRT,Asia Pacific,Tokyo,100,11.10
138.2.21.31,2086,2086,false,NRT,Asia Pacific,Tokyo,98,11.10
141.147.175.230,2087,2087,true,NRT,Asia Pacific,Tokyo,128,11.10
143.47.242.7,443,443,true,FRA,Europe,Frankfurt,192,11.09
141.147.168.159,2086,2086,false,NRT,Asia Pacific,Tokyo,101,11.08
150.230.121.179,443,443,true,CDG,Europe,Paris,186,11.07
141.144.233.238,443,443,true,CDG,Europe,Paris,183,11.06
152.67.143.89,443,443,true,CDG,Europe,Paris,200,11.03
140.238.46.138,8880,8880,false,NRT,Asia Pacific,Tokyo,77,11.03
140.238.54.166,2086,2086,false,NRT,Asia Pacific,Tokyo,103,11.03
144.21.39.30,443,443,true,FRA,Europe,Frankfurt,186,11.03
140.238.33.94,2052,2052,false,NRT,Asia Pacific,Tokyo,100,11.02
150.230.127.76,443,443,true,CDG,Europe,Paris,176,11.01
141.147.92.143,443,443,true,LHR,Europe,London,161,11.00
140.238.58.42,2095,2095,false,NRT,Asia Pacific,Tokyo,98,11.00
140.238.44.118,8443,8443,true,NRT,Asia Pacific,Tokyo,114,10.99
158.101.144.34,2082,2082,false,NRT,Asia Pacific,Tokyo,103,10.98
168.138.200.159,8880,8880,false,NRT,Asia Pacific,Tokyo,101,10.98
141.147.178.115,2087,2087,true,NRT,Asia Pacific,Tokyo,99,10.97
141.147.42.69,443,443,true,AMS,Europe,Amsterdam,238,10.97
141.147.174.190,2083,2083,true,NRT,Asia Pacific,Tokyo,104,10.97
138.2.25.122,8443,8443,true,NRT,Asia Pacific,Tokyo,113,10.96
138.2.21.31,2052,2052,false,NRT,Asia Pacific,Tokyo,101,10.96
158.101.131.218,2082,2082,false,NRT,Asia Pacific,Tokyo,79,10.95
140.238.46.138,2053,2053,true,NRT,Asia Pacific,Tokyo,119,10.94
152.69.215.14,2086,2086,false,SIN,Asia Pacific,Singapore,164,10.94
168.138.198.53,2087,2087,true,NRT,Asia Pacific,Tokyo,78,10.93
84.235.173.20,443,443,true,CDG,Europe,Paris,195,10.93
140.238.59.255,2082,2082,false,NRT,Asia Pacific,Tokyo,97,10.92
140.238.60.71,8880,8880,false,NRT,Asia Pacific,Tokyo,102,10.91
158.101.158.238,2087,2087,true,NRT,Asia Pacific,Tokyo,102,10.91
140.238.40.136,8080,8080,false,NRT,Asia Pacific,Tokyo,108,10.90
158.101.159.181,2095,2095,false,NRT,Asia Pacific,Tokyo,105,10.90
138.2.14.164,2096,2096,true,NRT,Asia Pacific,Tokyo,110,10.90
141.147.160.86,2052,2052,false,NRT,Asia Pacific,Tokyo,100,10.89
158.101.145.246,2083,2083,true,NRT,Asia Pacific,Tokyo,128,10.89
158.101.158.251,2087,2087,true,NRT,Asia Pacific,Tokyo,86,10.89
141.147.189.242,2052,2052,false,NRT,Asia Pacific,Tokyo,101,10.89
140.238.35.138,2052,2052,false,NRT,Asia Pacific,Tokyo,82,10.89
141.147.168.159,8443,8443,true,NRT,Asia Pacific,Tokyo,103,10.88
140.238.60.177,2087,2087,true,NRT,Asia Pacific,Tokyo,146,10.87
140.238.38.245,8080,8080,false,NRT,Asia Pacific,Tokyo,78,10.87
150.230.216.117,2082,2082,false,NRT,Asia Pacific,Tokyo,99,10.87
168.138.202.145,8880,8880,false,NRT,Asia Pacific,Tokyo,105,10.86
150.230.216.117,2086,2086,false,NRT,Asia Pacific,Tokyo,101,10.85
140.238.51.89,2086,2086,false,NRT,Asia Pacific,Tokyo,100,10.85
141.147.174.190,2095,2095,false,NRT,Asia Pacific,Tokyo,87,10.84
144.21.32.193,2053,0,true,AMS,Europe,Amsterdam,177,10.84
192.9.246.112,8443,443,true,SJC,North America,San Jose,182,10.83
141.147.76.113,443,443,true,FRA,Europe,Frankfurt,195,10.83
140.238.35.195,8443,8443,true,NRT,Asia Pacific,Tokyo,101,10.81
168.138.207.64,2053,2053,true,NRT,Asia Pacific,Tokyo,101,10.79
140.238.62.12,2086,2086,false,NRT,Asia Pacific,Tokyo,107,10.79
138.2.11.179,2096,2096,true,NRT,Asia Pacific,Tokyo,93,10.78
138.2.20.230,2053,2053,true,NRT,Asia Pacific,Tokyo,130,10.78
132.226.196.161,443,443,true,FRA,Europe,Frankfurt,189,10.78
140.238.35.78,2082,2082,false,NRT,Asia Pacific,Tokyo,100,10.77
140.238.61.78,80,80,false,NRT,Asia Pacific,Tokyo,105,10.77
140.238.59.255,8880,8880,false,NRT,Asia Pacific,Tokyo,110,10.76
150.230.221.114,2096,2096,true,NRT,Asia Pacific,Tokyo,99,10.76
138.2.14.209,80,80,false,NRT,Asia Pacific,Tokyo,121,10.75
140.238.33.94,8880,8880,false,NRT,Asia Pacific,Tokyo,117,10.73
150.230.214.218,2082,2082,false,NRT,Asia Pacific,Tokyo,114,10.72
141.147.168.159,2087,2087,true,NRT,Asia Pacific,Tokyo,87,10.71
168.138.192.185,2095,2095,false,NRT,Asia Pacific,Tokyo,109,10.71
168.138.197.222,2083,2083,true,NRT,Asia Pacific,Tokyo,118,10.70
150.230.207.53,2086,2086,false,NRT,Asia Pacific,Tokyo,114,10.70
138.2.29.250,8443,8443,true,NRT,Asia Pacific,Tokyo,120,10.68
138.2.7.72,8443,8443,true,NRT,Asia Pacific,Tokyo,112,10.68
168.138.198.202,2082,2082,false,NRT,Asia Pacific,Tokyo,79,10.68
129.146.247.85,2053,443,true,LAX,North America,Los Angeles,177,10.68
138.2.19.122,2086,2086,false,NRT,Asia Pacific,Tokyo,99,10.67
