IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
34.92.229.105,3000,TRUE,HKG,HK,Asia Pacific,Hong Kong,396982,GOOGLE-CLOUD-PLATFORM,244,21.48
35.201.193.97,443,TRUE,TPE,TW,Asia Pacific,Taipei,396982,GOOGLE-CLOUD-PLATFORM,273,18.49
34.81.35.248,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,396982,GOOGLE-CLOUD-PLATFORM,343,18.35
34.92.21.166,12953,TRUE,LAX,US,North America,Los Angeles,396982,GOOGLE-CLOUD-PLATFORM,772,7.42
35.200.154.186,443,TRUE,SIN,SG,Asia Pacific,Singapore,396982,GOOGLE-CLOUD-PLATFORM,732,6.92
35.235.104.67,44333,TRUE,LAX,US,North America,Los Angeles,396982,GOOGLE-CLOUD-PLATFORM,719,6.04
34.97.218.204,8443,TRUE,KIX,JP,Asia Pacific,Osaka,396982,GOOGLE-CLOUD-PLATFORM,730,5.07
35.197.23.75,443,TRUE,SEA,US,North America,Seattle,396982,GOOGLE-CLOUD-PLATFORM,996,2.29
35.202.158.120,443,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,811,2.05
35.203.182.49,443,TRUE,SEA,US,North America,Seattle,396982,GOOGLE-CLOUD-PLATFORM,752,1.73
35.247.124.181,443,TRUE,SEA,US,North America,Seattle,396982,GOOGLE-CLOUD-PLATFORM,689,1.64
34.87.143.133,555,TRUE,SIN,SG,Asia Pacific,Singapore,396982,GOOGLE-CLOUD-PLATFORM,896,1.61
34.68.95.24,5001,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,851,1.43
35.230.79.26,443,TRUE,SEA,US,North America,Seattle,396982,GOOGLE-CLOUD-PLATFORM,791,1.14
34.69.150.180,443,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,902,1.14
34.89.241.45,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,876,0.82
34.90.91.229,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,981,0.78
35.240.184.147,8092,TRUE,SIN,SG,Asia Pacific,Singapore,396982,GOOGLE-CLOUD-PLATFORM,471,0.73
34.65.92.52,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,866,0.71
34.150.33.254,4466,TRUE,HKG,HK,Asia Pacific,Hong Kong,396982,GOOGLE-CLOUD-PLATFORM,237,0.70
34.68.95.24,5000,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,836,0.66
34.65.75.131,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,841,0.58
35.232.160.115,443,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,868,0.57
34.65.52.128,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,842,0.56
