IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
34.66.72.229,443,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,863,0.56
34.90.239.45,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,916,0.54
34.89.145.14,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,817,0.53
35.246.223.15,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,941,0.47
34.90.235.60,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,878,0.47
35.247.23.86,8080,TRUE,SEA,US,North America,Seattle,396982,GOOGLE-CLOUD-PLATFORM,785,0.45
34.93.147.231,2053,TRUE,BOM,IN,Asia Pacific,Mumbai,396982,GOOGLE-CLOUD-PLATFORM,537,0.45
34.65.91.34,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,840,0.44
34.91.134.236,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,991,0.42
35.234.95.210,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,877,0.40
35.245.36.136,443,TRUE,IAD,US,North America,Ashburn,396982,GOOGLE-CLOUD-PLATFORM,906,0.39
34.91.217.220,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,885,0.37
34.72.146.82,443,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,797,0.37
35.204.0.75,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,880,0.36
34.89.241.113,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,835,0.36
35.234.119.222,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,885,0.35
35.246.165.122,443,TRUE,AMS,NL,Europe,Amsterdam,396982,GOOGLE-CLOUD-PLATFORM,853,0.28
34.91.69.135,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,877,0.28
35.190.152.145,443,TRUE,ATL,US,North America,Atlanta,396982,GOOGLE-CLOUD-PLATFORM,997,0.24
35.242.221.191,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,906,0.22
34.89.184.32,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,871,0.15
34.89.153.165,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,988,0.14
35.185.75.107,443,TRUE,ATL,US,North America,Atlanta,396982,GOOGLE-CLOUD-PLATFORM,882,0.14
34.90.67.37,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,1003,0.12
34.116.186.143,9101,TRUE,PRG,CZ,Europe,Prague,396982,GOOGLE-CLOUD-PLATFORM,977,0.04
34.27.194.227,2053,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,815,0.03
34.27.194.227,8443,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,885,0.02
35.221.215.200,2023,TRUE,TPE,TW,Asia Pacific,Taipei,396982,GOOGLE-CLOUD-PLATFORM,337,0.02
