IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.13.78,443,443,true,CDG,Europe,Paris,266,8.18
34.91.29.251,443,443,true,FRA,Europe,Frankfurt,190,8.17
34.154.231.46,443,443,true,CDG,Europe,Paris,176,8.16
34.116.223.71,443,443,true,FRA,Europe,Frankfurt,200,8.15
34.65.212.101,443,443,true,FRA,Europe,Frankfurt,189,8.15
34.118.57.46,443,443,true,FRA,Europe,Frankfurt,189,8.13
34.65.212.101,443,443,true,FRA,Europe,Frankfurt,241,8.11
34.116.247.197,443,443,true,FRA,Europe,Frankfurt,262,8.11
34.154.158.162,443,443,true,CDG,Europe,Paris,189,8.06
34.148.187.247,443,443,true,ATL,North America,Atlanta,220,8.05
35.237.127.69,80,0,false,ATL,North America,Atlanta,221,8.05
34.118.53.218,443,443,true,FRA,Europe,Frankfurt,266,8.04
34.118.99.244,443,443,true,FRA,Europe,Frankfurt,191,8.02
34.65.115.78,443,443,true,CDG,Europe,Paris,177,7.99
34.65.223.180,443,443,true,CDG,Europe,Paris,172,7.96
34.90.153.175,443,443,true,CDG,Europe,Paris,232,7.93
34.107.54.115,443,443,true,FRA,Europe,Frankfurt,226,7.92
35.196.72.166,443,443,true,ATL,North America,Atlanta,222,7.91
34.116.253.136,443,443,true,FRA,Europe,Frankfurt,186,7.88
34.65.227.233,443,443,true,FRA,Europe,Frankfurt,215,7.87
34.74.105.17,80,8080,false,ATL,North America,Atlanta,221,7.77
34.74.105.17,80,8080,false,ATL,North America,Atlanta,220,7.72
34.118.32.6,443,443,true,FRA,Europe,Frankfurt,266,7.65
34.107.57.128,443,443,true,FRA,Europe,Frankfurt,160,7.57
34.116.222.237,443,443,true,CDG,Europe,Paris,209,7.56
34.116.252.167,443,443,true,IAD,North America,Ashburn,188,7.53
34.107.80.187,443,443,true,FRA,Europe,Frankfurt,214,7.39
34.118.40.101,443,443,true,CDG,Europe,Paris,223,7.38
34.154.154.120,443,443,true,CDG,Europe,Paris,182,7.37
34.154.65.62,443,443,true,FRA,Europe,Frankfurt,185,7.25
34.89.249.158,443,443,true,FRA,Europe,Frankfurt,191,7.23
34.65.82.210,443,443,true,FRA,Europe,Frankfurt,176,7.14
34.118.57.46,443,443,true,FRA,Europe,Frankfurt,250,7.07
34.154.13.211,443,443,true,FRA,Europe,Frankfurt,190,7.04
34.118.5.50,443,443,true,FRA,Europe,Frankfurt,194,7.01
34.154.109.8,443,443,true,FRA,Europe,Frankfurt,177,6.94
34.118.90.137,443,443,true,CDG,Europe,Paris,191,6.92
34.90.235.60,443,443,true,FRA,Europe,Frankfurt,177,6.76
34.91.211.239,443,443,true,FRA,Europe,Frankfurt,180,6.74
34.90.67.37,443,443,true,FRA,Europe,Frankfurt,241,6.59
34.154.104.163,443,443,true,AMS,Europe,Amsterdam,178,6.52
34.116.145.162,443,443,true,FRA,Europe,Frankfurt,267,6.49
34.118.31.190,443,443,true,FRA,Europe,Frankfurt,249,6.49
34.116.188.159,443,443,true,FRA,Europe,Frankfurt,243,6.44
34.116.233.255,443,443,true,FRA,Europe,Frankfurt,269,6.42
34.118.81.122,443,443,true,FRA,Europe,Frankfurt,231,6.26
34.116.180.114,443,443,true,FRA,Europe,Frankfurt,265,6.24
34.116.252.167,443,443,true,AMS,Europe,Amsterdam,299,6.24
34.118.31.190,443,443,true,FRA,Europe,Frankfurt,241,6.23
34.34.61.222,443,443,true,IAD,North America,Ashburn,192,6.18
34.116.238.49,443,443,true,AMS,Europe,Amsterdam,231,6.17
34.118.15.29,443,443,true,FRA,Europe,Frankfurt,270,6.16
34.118.36.2,443,443,true,FRA,Europe,Frankfurt,187,6.14
34.118.21.63,443,443,true,FRA,Europe,Frankfurt,191,6.12
34.154.196.80,443,443,true,FRA,Europe,Frankfurt,203,6.10
34.116.222.237,443,443,true,EWR,North America,Newark,261,6.09
34.116.181.93,443,443,true,FRA,Europe,Frankfurt,253,6.07
34.32.207.49,443,443,true,CDG,Europe,Paris,203,6.00
34.116.238.49,443,443,true,AMS,Europe,Amsterdam,229,5.98
34.154.186.147,443,443,true,FRA,Europe,Frankfurt,199,5.96
34.118.86.165,443,443,true,AMS,Europe,Amsterdam,211,5.91
34.118.11.48,443,443,true,FRA,Europe,Frankfurt,188,5.91
34.116.242.219,443,443,true,CDG,Europe,Paris,188,5.90
34.154.184.119,443,443,true,AMS,Europe,Amsterdam,183,5.88
34.154.219.67,443,443,true,FRA,Europe,Frankfurt,179,5.87
34.154.80.143,443,443,true,CDG,Europe,Paris,181,5.84
34.118.32.6,443,443,true,FRA,Europe,Frankfurt,187,5.78
34.116.206.127,443,443,true,FRA,Europe,Frankfurt,234,5.75
34.116.206.127,443,443,true,FRA,Europe,Frankfurt,187,5.68
34.118.121.202,443,443,true,CDG,Europe,Paris,190,5.65
34.116.233.255,443,443,true,FRA,Europe,Frankfurt,197,5.61
34.154.190.165,443,443,true,CDG,Europe,Paris,186,5.52
34.154.17.9,443,443,true,CDG,Europe,Paris,196,5.50
34.116.213.20,443,443,true,FRA,Europe,Frankfurt,293,5.48
34.141.137.1,443,443,true,FRA,Europe,Frankfurt,168,5.43
34.118.16.81,443,443,true,AMS,Europe,Amsterdam,196,5.42
34.154.252.186,443,443,true,AMS,Europe,Amsterdam,178,5.40
34.154.97.127,443,443,true,AMS,Europe,Amsterdam,175,5.38
34.116.253.136,443,443,true,FRA,Europe,Frankfurt,270,5.31
34.116.172.36,443,443,true,IAD,North America,Ashburn,339,5.30
34.116.247.197,443,443,true,FRA,Europe,Frankfurt,186,5.24
34.65.82.210,443,443,true,FRA,Europe,Frankfurt,235,5.19
34.90.46.109,443,443,true,CDG,Europe,Paris,232,5.16
34.154.172.150,443,443,true,AMS,Europe,Amsterdam,188,5.06
34.118.20.24,443,443,true,FRA,Europe,Frankfurt,318,4.96
