IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
18.201.107.7,2082,0,false,ORD,North America,Chicago,184,0.00
16.171.63.1,2096,0,false,ORD,North America,Chicago,198,0.00
16.171.63.1,8880,0,false,ORD,North America,Chicago,197,0.00
18.201.107.7,2052,0,false,ORD,North America,Chicago,182,0.00
18.201.107.7,2086,0,false,ORD,North America,Chicago,176,0.00
16.171.63.1,8080,0,false,ORD,North America,Chicago,195,0.00
3.21.101.158,80,0,false,ORD,North America,Chicago,289,0.00
13.58.43.16,2083,0,false,ORD,North America,Chicago,250,0.00
18.201.107.7,2096,0,false,ORD,North America,Chicago,181,0.00
18.191.81.253,8880,0,false,ORD,North America,Chicago,235,0.00
18.201.107.7,80,0,false,ORD,North America,Chicago,181,0.00
3.140.244.126,2087,0,false,ORD,North America,Chicago,246,0.00
16.171.63.1,2052,0,false,ORD,North America,Chicago,197,0.00
3.129.64.170,2086,0,false,ORD,North America,Chicago,243,0.00
3.145.120.125,8080,0,false,ORD,North America,Chicago,270,0.00
3.129.64.170,2087,0,false,ORD,North America,Chicago,239,0.00
3.255.194.220,2083,0,false,ORD,North America,Chicago,180,0.00
18.191.81.253,2096,0,false,ORD,North America,Chicago,231,0.00
3.145.120.125,8443,0,false,ORD,North America,Chicago,300,0.00
3.255.194.220,80,0,false,ORD,North America,Chicago,190,0.00
3.99.169.181,2087,0,false,ORD,North America,Chicago,250,0.00
13.51.13.65,2095,0,false,ORD,North America,Chicago,196,0.00
15.222.45.130,2095,0,false,ORD,North America,Chicago,253,0.00
3.255.194.220,2052,0,false,ORD,North America,Chicago,181,0.00
3.255.194.220,2082,0,false,ORD,North America,Chicago,178,0.00
13.51.13.65,2083,0,false,ORD,North America,Chicago,195,0.00
15.223.115.169,2095,0,false,ORD,North America,Chicago,251,0.00
3.255.194.220,2095,0,false,ORD,North America,Chicago,182,0.00
3.129.64.170,8880,0,false,ORD,North America,Chicago,242,0.00
15.222.61.214,2053,0,false,ORD,North America,Chicago,251,0.00
18.191.81.253,2083,0,false,ORD,North America,Chicago,299,0.00
15.223.115.169,8880,0,false,ORD,North America,Chicago,253,0.00
3.96.142.58,2087,0,false,ORD,North America,Chicago,301,0.00
15.222.62.138,2053,0,false,ORD,North America,Chicago,244,0.00
3.99.169.181,8443,0,false,ORD,North America,Chicago,266,0.00
15.223.2.143,2086,0,false,ORD,North America,Chicago,253,0.00
15.156.199.197,2087,0,false,ORD,North America,Chicago,269,0.00
15.222.62.90,2096,0,false,ORD,North America,Chicago,245,0.00
15.222.45.130,2053,0,false,ORD,North America,Chicago,253,0.00
15.156.199.197,2083,0,false,ORD,North America,Chicago,253,0.00
15.222.254.155,8880,0,false,ORD,North America,Chicago,258,0.00
15.223.2.76,2086,0,false,ORD,North America,Chicago,252,0.00
15.222.62.175,8880,0,false,ORD,North America,Chicago,288,0.00
3.99.169.181,8880,0,false,ORD,North America,Chicago,312,0.00
15.157.30.77,80,0,false,ORD,North America,Chicago,257,0.00
15.222.45.130,8880,0,false,ORD,North America,Chicago,250,0.00
3.99.169.181,2082,0,false,ORD,North America,Chicago,306,0.00
15.222.61.74,2052,0,false,ORD,North America,Chicago,248,0.00
15.222.4.96,2087,0,false,ORD,North America,Chicago,259,0.00
99.79.95.3,80,0,false,ORD,North America,Chicago,264,0.00
15.222.61.214,2096,0,false,ORD,North America,Chicago,261,0.00
15.223.115.169,2087,0,false,ORD,North America,Chicago,249,0.00
15.222.62.175,80,0,false,ORD,North America,Chicago,259,0.00
15.222.61.214,443,0,false,ORD,North America,Chicago,251,0.00
15.222.62.90,8080,0,false,ORD,North America,Chicago,328,0.00
15.223.66.150,2052,0,false,ORD,North America,Chicago,252,0.00
15.223.65.10,8443,0,false,ORD,North America,Chicago,296,0.00
15.222.61.74,2096,0,false,ORD,North America,Chicago,323,0.00
15.223.115.169,8443,0,false,ORD,North America,Chicago,304,0.00
15.223.66.150,8880,0,false,ORD,North America,Chicago,252,0.00
15.222.62.90,8443,0,false,ORD,North America,Chicago,256,0.00
15.222.61.214,2095,0,false,ORD,North America,Chicago,253,0.00
15.156.199.197,2052,0,false,ORD,North America,Chicago,254,0.00
15.222.62.175,2095,0,false,ORD,North America,Chicago,257,0.00
15.222.45.130,2052,0,false,ORD,North America,Chicago,319,0.00
3.99.169.181,8080,0,false,ORD,North America,Chicago,251,0.00
15.222.4.96,2052,0,false,ORD,North America,Chicago,311,0.00
15.223.115.169,8080,0,false,ORD,North America,Chicago,259,0.00
15.157.62.93,8080,0,false,ORD,North America,Chicago,321,0.00
15.222.62.90,2053,0,false,ORD,North America,Chicago,248,0.00
15.223.65.10,2082,0,false,ORD,North America,Chicago,293,0.00
15.223.2.143,2082,0,false,ORD,North America,Chicago,309,0.00
15.222.254.155,2083,0,false,ORD,North America,Chicago,256,0.00
